Time,Latitude,Longitude,Depth_Km,Magnitude
2016-08-24 09:18:35.000,42.7308,13.1875,9.9,2.4
2016-08-24 09:19:35.550,42.7248,13.2218,9.8,2.0
2016-08-24 09:21:22.800,42.7252,13.2073,9.0,2.1
2016-08-24 09:23:08.780,42.788000000000004,13.1978,8.8,2.9
2016-08-24 09:23:28.240,42.718,13.187000000000001,8.6,3.3
2016-08-24 09:24:49.200,42.7118,13.1767,10.6,2.5
2016-08-24 09:25:02.790,42.711999999999996,13.220999999999998,5.5,3.1
2016-08-24 09:26:57.430,42.7873,13.1525,7.5,2.4
2016-08-24 09:28:25.300,42.7007,13.1323,10.5,2.8
2016-08-24 09:28:54.490,42.7963,13.2013,7.6,2.5
2016-08-24 09:29:51.980,42.7258,13.2413,9.4,2.3
2016-08-24 09:30:25.890,42.7558,13.1568,7.0,2.1
2016-08-24 09:32:48.660,42.8403,13.1097,7.0,2.0
2016-08-24 09:35:43.450,42.7793,13.1533,11.0,2.5
2016-08-24 09:38:59.510,42.6148,13.3228,7.2,2.0
2016-08-24 09:39:13.420,42.7145,13.2475,9.6,2.4
2016-08-24 09:43:31.880,42.7683,13.2387,10.3,2.0
2016-08-24 09:44:23.040,42.729,13.2907,10.9,2.2
2016-08-24 09:45:18.990,42.678999999999995,13.1515,13.3,2.0
2016-08-24 09:45:37.160,42.7143,13.2598,9.6,2.7
2016-08-24 09:46:12.900,42.7845,13.1152,11.0,2.1
2016-08-24 09:47:57.700,42.7382,13.2208,10.8,2.5
2016-08-24 09:48:08.490,42.7708,13.1922,10.2,3.1
2016-08-24 09:49:13.890,42.7337,13.2213,8.1,2.0
2016-08-24 09:49:38.670,42.7755,13.228,10.4,2.1
2016-08-24 09:50:25.040,42.6373,13.2517,12.5,2.2
2016-08-24 09:50:57.870,42.6493,13.2303,10.6,2.1
2016-08-24 09:52:17.070,42.6228,13.2935,6.7,3.2
2016-08-24 09:53:01.400,42.8067,13.1682,9.6,3.3
2016-08-24 09:55:03.300,42.7977,13.2113,9.8,2.3
2016-08-24 09:55:22.820,42.8108,13.1648,9.5,2.8
2016-08-24 09:57:48.970,42.641000000000005,13.3125,10.8,2.0
2016-08-24 10:00:55.830,42.7293,13.2118,9.0,2.9
2016-08-24 10:01:58.370,42.776,13.185,10.1,2.9
2016-08-24 10:02:55.160,42.7923,13.2317,6.8,2.9
2016-08-24 10:19:27.250,42.7372,13.1623,10.7,2.3
2016-08-24 10:19:53.120,42.6372,13.3038,7.3,2.5
2016-08-24 10:30:38.120,42.7973,13.1928,9.6,2.7
2016-08-24 10:37:07.510,42.7573,13.1898,10.4,2.3
2016-08-24 10:38:10.240,42.703,13.2527,13.8,2.5
2016-08-24 10:39:05.110,42.8133,13.1942,14.8,2.7
2016-08-24 10:49:02.220,42.7573,13.1685,10.3,2.4
2016-08-24 10:52:09.600,42.754,13.2168,3.7,2.1
2016-08-24 10:55:33.330,42.8265,13.2725,6.7,3.1
2016-08-24 10:56:38.240,42.7848,13.1368,10.0,2.8
2016-08-24 10:58:51.320,42.7575,13.1775,10.4,2.7
2016-08-24 11:00:30.560,42.821000000000005,13.1627,9.6,2.4
2016-08-24 11:02:58.770,42.8187,13.195,10.3,3.2
2016-08-24 11:04:37.770,42.8112,13.1953,10.2,2.9
2016-08-24 11:05:09.900,42.6535,13.2667,11.8,2.6
2016-08-24 11:09:46.260,42.7627,13.1783,10.5,2.2
2016-08-24 11:13:30.190,42.8063,13.2003,9.1,2.1
2016-08-24 11:15:01.010,42.7735,13.1618,10.2,2.5
2016-08-24 11:23:09.080,42.7623,13.1373,12.9,2.1
2016-08-24 11:25:32.440,42.8118,13.1832,9.3,2.4
2016-08-24 11:28:08.440,42.4708,13.2475,12.4,2.8
2016-08-24 11:31:43.300,42.8123,13.1923,9.5,3.4
2016-08-24 11:33:13.240,42.8173,13.1933,10.6,2.5
2016-08-24 11:36:50.140,42.4798,13.2378,12.8,2.0
2016-08-24 11:39:12.480,42.7282,13.2497,9.2,2.2
